CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
7,528,2,3 Years,"1,20,000/-", N.A ,passed in  10 +2 in any stream
7,529,2,2 Years,"1,80,000/-"," $5,500.00 ",Recognized Bachelor’s Degree of minimum 3 years duration.
7,530,2,2 Year,"1,80,000/-"," $5,500.00 ",Graduation + Minimum 2 years work
7,531,2,1 Years,"90,000/-", N.A ,Graduation + Minimum 2 years work
7,532,2,3 Years,"40,000/-"," $4,200.00 ",passed in  10 +2 in any stream
7,533,2,3 Years,"60,000/-"," $4,200.00 ",passed in  10 +2 in any stream
7,534,2,3 Years,"60,000/-"," $4,200.00 ",passed in  10 +2 in any stream
7,535,2,2 Years,"60,000/-"," $5,500.00 ",passed in B.com
7,536,2,2 Years,"60,000/-"," $5,500.00 ",passed in B.com
7,537,3,3 Years,"60,000/-"," $4,200.00 ",The candidates should have passed 10+2 examinations (in Commerce group for B.Com.- LLB) from any recognized Board/ University with at least five subjects including English securing not less than 45% marks (40% for SC & ST and 42% for OBC candidates) in aggregate and should not be more than 20 years of age after 31st December of the year of admission to the course in case of General Category and 22 years for the candidates belonging to SC/ST/OBC Category Note: Candidates basic qualification having passed 10+2 Examination from Open School are not eligible
7,538,3,2 Years,"60,000/-", N.A ,LLB with 45% Aggregate Marks
7,539,3,5 years,"60,000/-"," $5,500.00 ",Candidate should have 10+2 Aggregate Marks
7,540,3,5 years,"60,000/-"," $5,500.00 ",Candidate should have 10+2 Aggregate Marks
7,541,5,4 years,"65,000/-"," $11,000.00 ",Passed 10+2 Examination with Physics and Chemistry as compulsary subjects along with one of the mathematics/Biotechnolgy/Biology
7,542,5,2 Years,"65,000/-"," $5,500.00 ","Candidate should have passed diploma in pharmacy course from an institute approved by the Pharmacy council of india under Section 12 of the pharmacy act  with atleast 45% marks , for general candidates belongingto SC/ST or OBC category"
7,543,5,2 Years,"48,880/-", N.A ,"Passed 10+2 Examination with Physics and Chemistry as compulsary subjects along with one of the mathematics/Biotechnolgy/Biology , Obtain atleast "
7,544,6,3 Years,"50,000/-"," $4,200.00 ",pass 10+2 with respective subjects
7,545,6,3 Years,"50,000/-"," $4,200.00 ",Pass 10+2 with science subjects (PCM/PCB)
7,546,6,3 Years,"60,000/-"," $4,200.00 ",pass 10+2 with respective subjects
7,547,6,2 Years,"60,000/-"," $5,500.00 ",Passed in B.sc Biotechnlogy
7,548,6,2 Years,"60,000/-"," $5,500.00 ",B.sc with Relevant Subject
7,549,4,1 Year,"40,000/-", N.A ,Graduated in the respective stream
7,550,4,1 Year,"40,000/-", N.A ,After Passing B.Lib
7,551,4,2 Years,"30,270/-", N.A ,Only students who appear in State Entrance Exam are eligible. Graduation Anchor post or its equivalent with  minimum 50% marks
7,552,4,2 Years,"40,000/-", N.A ,Graduation or its equivalent with minimum 50% marks
7,553,7,3 Years,"1,00,000/-"," $4,200.00 ",pass 10+2 with respective subjects
7,554,7,3 Years,"1,00,000/-"," $4,200.00 ",pass 10+2 with respective subjects
7,555,7,2 Years,"1,00,000/-", N.A ,AICTE approved  1 year diploma in FD/ID after 10+2
7,556,7,2 Years,"1,00,000/-", N.A ,AICTE approved  1 year diploma in FD/ID after 10+2
7,557,8,3 Years,"1,20,000/-", N.A ,passed 10+2
7,558,8,2 Years,"1,20,000/-", N.A ,Graduate in relavant Subject
7,559,8,3 Years,"1,20,000/-", N.A ,passed 10+2
7,560,8,2 Years,"1,20,000/-", N.A ,Graduate in any stream
